Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2015&ao=329175&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8bc33975&cb=1522955721033&jobListingId=2684609826,Full Time, Blood Systems,Scottsdale,AZ,0,0,
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2111&ao=89251&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_beed3f41&cb=1522955814531&jobListingId=2720833071,Full Time, BAE Systems,Merrimack,NH,76000,109000,c++
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2116&ao=297788&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_23917284&cb=1522955814539&jobListingId=2724514019,Full Time, Collabera,Houston,TX,0,0,"c#,.net"
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2126&ao=239891&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6706aa24&cb=1522955814561&jobListingId=2515935438,Full Time," Ryan, LLC",Dallas,TX,80000,119000,"java,c#,.net,javascript"
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2207&ao=295855&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d9aaf7b4&cb=1522955906659&jobListingId=2683969826,Full Time, Hayward Industries,North Kingstown,RI,89000,129000,c++
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2311&ao=290944&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_65801ad9&cb=1522955999612&jobListingId=2657871299,Full Time, Infinera,Sunnyvale,CA,127000,178000,"c++,python"
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2608&ao=289400&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e4e3e6aa&cb=1522956284644&jobListingId=2680303429,Full Time, Fanatics,San Mateo,CA,119000,167000,"java,python"
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2713&ao=277983&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c6ce545c&cb=1522956379559&jobListingId=2720138896,Full Time, OpenTable,San Francisco,CA,100000,144000,"java,c#,c++,python,rest"
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=2908&ao=234799&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_33ea2bf9&cb=1522956563980&jobListingId=2631436095,Full Time, DocuSign,Seattle,WA,103000,147000,"java,c#,.net"
Senior Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=225866&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_380dd493&cb=1523202158585&jobListingId=2720146007,Full Time, Workiva Inc.,Scottsdale,AZ,88000,128000,"java,python,javascript,aws"
